"1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","species"
1,NA,1,2,NA,NA,NA,NA,NA,3977777.6512662,871240.573974996,3099115.09350675,3903995.82830167,57836.7733673195,1,NA,1,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,1,NA,NA,NA,1,NA,2,1,NA,NA,NA,"Anthemis cotula"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,4.49499649047852,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,728982.214918937,2,2,121967.923790903,2664842.64403281,"Daphne mezereum"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45661852.69259,51733163.0778303,36795.0324602028,"Trifolium pratense"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13324.9961438416,2,1,130763.284875838,3024470.89574549,3136713.88812339,14187267.4889447,11191935.8144108,32704684.3127107,27057399.980989,29895879.8589284,34893144.7176224,179736.311962489,"Rosa rugosa"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26127045.4309786,19128602.3342155,36539547.6466793,39708997.1425772,32715006.867624,1565385.82417325,"Cirsium vulgare"
NA,1,5.43105172080994,2,NA,NA,2,1,2,NA,2,2,4828.60646813049,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,2,1,NA,2,2,3221872.13363726,6176124.05244243,4241433.08153883,7323036.39457532,7195385.51362464,5720178.09040727,701666.262284047,"Vinca minor"
NA,NA,NA,1,1,NA,NA,1,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,1,2,378239.258449876,6250945.44340706,8054740.91288117,12602964.7007639,3428213.69715158,4835906.64733052,NA,"Ajuga reptans"
NA,1,NA,NA,NA,NA,1,2,NA,2,1,82486.5250605095,9382.72495543213,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,1,1,NA,2,1,2,NA,1,NA,NA,750553.123087184,14204444.7689769,3207132.35766926,15308548.1107692,6318425.97063591,7271772.51583167,NA,"Centaurea jacea"
NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,2,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,1,1,2079407.26385618,5308735.54048739,6744977.53587773,3766727.09562963,13680662.7258466,12083178.2359389,16322652.5467573,NA,"Lysimachia punctata"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,3115.9145395443,NA,1265650.30162495,NA,"Osmerus mordax"
