"","win_1970","win_1971","win_1972","win_1973","win_1974","win_1975","win_1976","win_1977","win_1978","win_1979","win_1980","win_1981","win_1982","win_1983","win_1984","win_1985","win_1986","win_1987","win_1988","win_1989","win_1990","win_1991","win_1992","win_1993","win_1994","win_1995","win_1996","win_1997","win_1998","win_1999","win_2000","win_2001","win_2002","win_2003","win_2004","win_2005","win_2006","win_2007","win_2008","win_2009","win_2010","win_2011","win_2012","win_2013","win_2014","win_2015","win_2016","win_2017","win_2018","win_2019","win_2020","species"
"Campanula persicifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,2,1,1,5313586.56185503,9218463.43405607,9168437.83921139,9508811.38964606,9508811.38964606,5993873.01103021,"Campanula persicifolia"
"Euonymus alatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,2,15955.022447583,16026.8373652496,16089.5633606641,25621.6886364197,397621.708292713,1107324.51695582,3672259.35493014,4120644.04205262,9023434.50583321,8871955.58373288,"Euonymus alatus"
"Brassica nigrum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,902.282369734192,94550.3723092388,94550.3723092388,94550.3723092388,23650.4428385052,"Brassica nigrum"
"Coccinella septempunctata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26174599.9871876,31374979.290887,31435199.0932484,"Coccinella septempunctata"
"Verbascum thapsus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16289465.2058318,30928858.7636003,31839278.406003,31839278.406003,"Verbascum thapsus"
"Aquilegia vulgaris",6706801.80664759,7158281.76614678,7160697.54524225,7144924.84030542,5219436.47326261,56728.0908624355,1843.02788268617,3082.26767680439,2779.9250581975,31976.3891865933,26044.9212157754,26044.9212157754,1,1,NA,NA,NA,NA,NA,NA,2,2,2,0,0,1,1,1,NA,NA,NA,NA,NA,NA,1,1,1,2,2,1,1,1,2,97466.6886441833,2105228.93013445,8637801.79242699,15594246.0574446,24225312.0585154,24686727.5606355,24686727.5606355,22242125.8152432,"Aquilegia vulgaris"
"Sedum sexangulare",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,410364.254008728,2043061.3264084,3475201.66180765,4187730.70530376,5039837.56116197,9925609.94627057,7469931.09437133,"Sedum sexangulare"
"Dactylis glomerata",6432939.55364706,20881873.6357683,20360571.8628265,11089729.2571709,11089729.2571709,11089729.2571709,155390.756437087,716079.495635815,2082257.37542355,9302493.22271711,9302493.22271711,9302493.22271711,9240785.61208096,7547032.17150334,2193506.66627927,NA,NA,NA,3084.47889131699,3084.47889131699,3084.47889131699,90763.1055279243,90763.1055279243,1,1,1,NA,NA,NA,NA,NA,1,1299862.47537034,1835792.9665259,2823276.52553213,2823276.52553213,456475.854912549,8439858.58553168,8439858.58553168,5185520.44841013,5185520.44841013,9437323.9891173,1299207.6983964,2692007.92845815,2708545.40031808,3741736.73394622,10050734.8411471,24807281.2039193,33509892.1846305,33905889.3456267,33905889.3456267,"Dactylis glomerata"
"Veronica officinalis",564291.626233252,574424.989069739,7267.77846406708,7267.77846406708,479525.737804909,208003.587397039,915360.994937335,915360.994937335,915360.994937335,3786882.79677279,3775839.82242234,4343344.91827084,4343344.91827084,4343344.91827084,2,1,NA,NA,NA,NA,7871.1375310997,7871.1375310997,90744.0713707092,90744.0713707092,521715.809481,3432366.47084355,3795251.84329391,3087468.7147198,3087468.7147198,46702.6635997772,886908.402682149,2,2,2,862720.271320901,2,2,9562242.88316816,9562242.88316816,10849216.4487431,10258251.3391343,11094208.4512917,2116574.42061207,2116574.42061207,2951184.98322728,11307471.0964487,13493506.6546876,13605904.514516,17081952.5621181,17579631.467108,17579631.467108,"Veronica officinalis"
"Petasites japonicus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,2,2,2,2,2,1,NA,2,329420.314488164,9119046.62421362,32348790.4141876,32374909.6041225,32449790.1451769,32456571.7907018,"Petasites japonicus"
"Adelges abietis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,39240.5313362494,39240.5313362494,2587.511950741,692841.223080085,724044.486160977,54761.9311066628,54761.9311066628,"Adelges abietis"
"Salix fragilis",29819821.9268941,29819821.9268941,29819821.9268941,30280864.7064608,12579529.3455201,1968933.38488577,2290599.20384422,837451.33157229,576064.272391968,576064.272391968,576064.272391968,135094.345577472,10750.7904148397,10750.7904148397,0,24063.5259093086,2,2,2,2,1,2,38870.6760281616,531033.595094253,682616.438483504,682616.438483504,1616266.96987332,1616266.96987332,153703.81056885,96570.9663494129,611794.66110259,611794.66110259,1624944.52838496,5201062.48095532,8252132.2767144,3645520.88183047,3645520.88183047,2,1,NA,NA,1,0,72414.4758632568,189693.835276807,189693.835276807,158502.974994885,346028.375425384,1694856.42235522,7817496.69967586,7817496.69967586,"Salix fragilis"
"Juncus compressus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,1,1,1,1,1,NA,NA,NA,1,1,1,1,1,NA,NA,NA,1,1,1,2,2,1,2,2,330549.74222016,431778.20825365,5423663.30359304,5423663.30359304,11491431.8757079,11428393.3083267,12172133.9058782,8057280.41198112,8057280.41198112,"Juncus compressus"
"Alopecurus pratensis",NA,1,19558.5113059673,20918.4458289909,730211.085753765,730364.343026303,730364.343026303,144174.329602912,143968.114486276,1146355.14816226,1146355.14816226,1146355.14816226,963739.67126526,957876.590385425,NA,1,1,1,20566.1194994579,20566.1194994579,61512.342381024,61512.342381024,61512.342381024,1,1,NA,1,1,1,1,1,1,1,8439903.31990881,30355300.6973477,30355300.6973477,22025759.11524,22025759.11524,7231495.49523513,7709978.19537229,11196500.8404338,7377342.90583059,7377342.90583059,0,1,1,1,2,676439.56371171,6407078.83057802,6407078.83057802,"Alopecurus pratensis"
"Anthoxanthum odoratum",1,1,1,2,46923.7671672238,46923.7671672238,6107828.83235557,11910040.0652597,10857540.9099981,2288701.18228934,2421714.32955203,2421714.32955203,190741.653166819,190741.653166819,95966.0975665538,2,1,1,1,NA,NA,NA,NA,1,456647.121346233,456647.121346233,982881.56491104,982881.56491104,982881.56491104,1,1,NA,NA,NA,1,1,1,2,2,1,1,1,NA,NA,NA,NA,NA,1,2,1941366.70855813,1941366.70855813,"Anthoxanthum odoratum"
"Valeriana officinalis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12942.8106710937,25128543.932753,27098212.2353827,32181810.7221761,33414978.2730457,33414978.2730457,"Valeriana officinalis"
"Malva moschata",3366727.42252353,3366727.42252353,1973552.61157911,1231306.10174711,197736.061656851,214295.448042807,8256880.10594322,8703705.27237222,8703705.27237222,9882554.73731417,9882554.73731417,1548306.51531821,698436.119490527,698436.119490527,1,NA,NA,NA,NA,17313.9811797371,17313.9811797371,17313.9811797371,17313.9811797371,17313.9811797371,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2830057.66913844,2830057.66913844,2830057.66913844,5887657.59820154,1830389.20349596,1736061.90373365,1791257.89676648,14330456.7859702,26259261.0546475,30839351.8234189,32484489.6833128,34485009.3585873,35343342.7233731,31912480.5649133,31244031.1998203,38127184.647553,37743311.1479643,"Malva moschata"
"Fagopyrum tataricum",2606874.56692084,2606874.56692084,2,1,40632.8570692559,1977.19949081638,1977.19949081638,105141.575431244,621961.368072037,479869.702091552,479869.702091552,479869.702091552,12831.1118290442,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fagopyrum tataricum"
"Cichorium intybus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26322071.3029675,27731218.9687833,27731218.9687833,"Cichorium intybus"
"Sturnus vulgaris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15816208.0294886,33191578.5192143,"Sturnus vulgaris"
"Syringa vulgaris",1,1,2,2,489175.237880981,2,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,152943.315837759,152943.315837759,152943.315837759,171653.88033482,171653.88033482,30236.1320572105,80254.119980613,5052465.86287327,8377148.67867596,22970249.0627265,23366766.8774089,24711461.3386765,24673209.6789173,"Syringa vulgaris"
"Epilobium hirsutum",147799.053572949,773462.011792834,1211832.55698494,267275.260258247,267275.260258247,267666.822922837,28340.0792072586,225308.923972061,624644.337324087,938088.871475978,1310568.71058698,1310568.71058698,1289012.89041921,509724.350997075,470170.943337614,NA,NA,NA,NA,1,1,1,1,2,2,602511.39222486,602511.39222486,602511.39222486,2,1,NA,NA,1,1,2,2,1683849.54941464,435981.29460918,435981.29460918,996323.573594064,996323.573594064,872274.073094974,872274.073094974,1351832.45522012,3047571.87667296,3047571.87667296,3288200.4935439,3649233.81180483,3824253.54937554,3836285.20846691,3836285.20846691,"Epilobium hirsutum"
"Anthriscus sylvestris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,1,2,2,2,1501957.38368916,58174.1161184341,2,2,2,1,1,1,1,2148140.85012735,1082876.11961902,3891516.02556754,3891516.02556754,4629314.97901751,4629314.97901751,2722507.84641898,1846572.91467234,10978488.9318637,12414257.0056768,12535819.5514382,12620752.3544219,13125469.2137395,10206629.6397519,"Anthriscus sylvestris"
"Fraxinus excelsior",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,"Fraxinus excelsior"
"Pastinaca sativa",4095259.70727109,12054433.0904391,17905686.9258934,17905686.9258934,20514492.7928015,13130553.5579322,7747180.64084947,8506835.34189383,8506835.34189383,8231850.03922609,8320776.74768681,6232351.50985432,6023868.63629704,5699252.12211287,2853912.68671559,1,NA,1,2,2,2,2,1,1,1,2,2,2,1,1,NA,NA,NA,2,25350.1027040527,25350.1027040527,25350.1027040527,224822.318305835,5955180.73819045,3928948.34393044,6593062.97117394,6593062.97117394,4475654.3827275,6930522.17637473,14806148.6529364,30565568.3637434,31166296.1993823,31327121.557209,31352620.3885539,31226209.1653386,30052106.3725989,"Pastinaca sativa"
"Passer domesticus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24141373.618013,24237218.8606954,"Passer domesticus"
"Abutilon theophrasti",86530.9935851776,923207.59463701,884487.632413074,2103626.41900628,2103626.41900628,4311231.95191867,4404116.17039094,5537918.79321854,2890432.77980007,5158072.06566638,5723135.72978625,5719971.52548401,5049477.86694173,5049477.86694173,4325358.70515154,2332247.62774259,1180139.53293405,14561424.0573156,13557524.8498036,366488.828947183,366488.828947183,8635199.52159175,6179.05031036377,1,1,2,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,NA,1,1,599224.826154205,748310.55855405,1911909.49079774,3223908.29936552,10024220.4787396,5571836.17579838,5571836.17579838,"Abutilon theophrasti"
"Glechoma hederacea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9749779.44919459,32652900.7874154,32730150.4750975,"Glechoma hederacea"
"Pholcus phalangioides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,1111344.96754058,1111344.96754058,1051717.71506724,1318186.96159571,14581088.1494211,15038931.9472937,17651742.6852593,20333380.2434398,20438707.0194588,8001659.17041225,"Pholcus phalangioides"
"Chenopodium strictum",1,1,0,552877.261742639,1598965.54340988,2231799.49966343,2772806.91843634,2842093.93595002,2473320.84469988,2569394.80283995,3150068.20021,3088162.33651995,2924150.25912703,2174336.92758155,1143627.16675033,277219.427978336,2,2,0,0,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,2,2,NA,NA,NA,NA,NA,NA,2,2,2,"Chenopodium strictum"
"Malva neglecta",48864.0690006212,48864.0690006212,20281.0200869299,6705.19755534118,7437.15104070396,635.182257789135,635.182257789135,252046.810621011,914267.28023157,1612835.2949159,1780389.49582617,1780389.49582617,1793477.82468355,1611295.96461966,1153754.32992155,196308.002862836,2,1,1,1,NA,NA,NA,NA,NA,1,1,1,2,2,1,1,1,NA,NA,NA,NA,286357.56521095,286357.56521095,286357.56521095,286357.56521095,296218.290156635,2,203.414173832726,57033.6524437912,2084860.4034149,2103323.88268136,2103323.88268136,2103323.88268136,1425897.31449504,1369241.89702275,"Malva neglecta"
"Amaranthus retroflexus",3493949.99843418,4646843.86866136,4345771.84501713,2462886.62361834,3263478.32739294,1093168.9158535,1283527.43729443,2168172.93269266,3767907.22379149,10314016.6953629,10594071.1762494,10594071.1762494,17044646.4450573,19807690.4775292,13900627.4693137,5148156.29145925,3711729.63778016,3627287.22728156,36079.0549812782,2,1,1,1,NA,1,1,2,2,2,1,1,2,1989505.61960778,1989505.61960778,1989505.61960778,1989505.61960778,360887.467152908,370030.216384257,332799.987617026,361061.988961724,361061.988961724,48082.9357001349,10353.9505620965,199567.595824285,229150.841928638,2486518.58199944,14474462.9145489,14474462.9145489,14474462.9145489,16436371.1334658,12904417.3473515,"Amaranthus retroflexus"
"Sinapis kaber",3027530.77944787,4196790.96521172,4144840.04110481,4131579.40863356,3937600.56712061,892952.865109217,418635.246568326,561199.712428426,1286274.90666177,5654249.36552953,5647336.7930558,15987363.7180488,13456037.7728003,13456037.7728003,10760413.7695011,7359106.90007524,6947301.12461973,2,2,790291.599967554,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,0,63870.8295575073,63870.8295575073,63870.8295575073,2106.06952993927,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sinapis kaber"
"Gnaphalium uliginosum",1513708.58033406,9421007.47948726,12083375.519381,22328733.4422733,24175133.0962722,24175133.0962722,14043447.9895672,8364913.19617505,2110042.15794928,10533298.7946636,10533298.7946636,32352500.1191042,31207580.1286841,31207580.1286841,52777018.1641113,54017653.4723058,24812698.9969259,24812698.9969259,14228422.7474027,4615339.7511477,1509985.2280695,9239306.09338056,1334012.70374738,3850430.59404727,3850430.59404727,3850430.59404727,671683.619237659,2,1,NA,1,1,2,4015179.26964416,4015179.26964416,2,7162868.29865576,7772636.2070709,5428213.57289946,5837456.18850772,6173063.00333075,1972103.78062811,21725.1154319176,261298.22173623,494412.67264415,3207323.81645399,8517953.40466591,11143970.5069701,19736242.1911462,20663955.4667075,20536552.4934812,"Gnaphalium uliginosum"
"Lonicera xylosteum",NA,1,2,0,3077.55071183977,3077.55071183977,3077.55071183977,3077.55071183977,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,259588.972977762,311433.837378856,959888.807820726,1050188.93080764,7061551.0592139,16989141.9276847,15773411.7424629,14573905.8371238,"Lonicera xylosteum"
"Narcissus poeticus",NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,1,1,1,1,1,NA,NA,NA,2,2,2,2,"Narcissus poeticus"
"Berberis thunbergii",NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,NA,NA,1,1,1,1,1,NA,NA,1,2,26300.576294455,26300.576294455,26300.576294455,110990.733145877,318874.053761967,854572.641246341,1448725.80992878,3994360.74592186,4399975.21107094,5028855.78940656,5028855.78940656,"Berberis thunbergii"
"Galeopsis bifida",1,1,29635103.158787,29635103.158787,2,2,16240064.8852403,2,2,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,4398002.37576852,28007412.1357911,28300455.099614,63342691.5462966,63561441.9141359,60964867.844195,58960640.6458492,"Galeopsis bifida"
"Silene alba",1,2,2,2,53850.6925079224,283363.637493377,1402886.04225203,1469574.11619418,4076445.28801622,7823712.95464614,7524876.8293144,17693151.3074673,18128806.2814726,13220731.2774046,9453666.35944496,0,1,1,2,2,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Silene alba"
"Conium maculatum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,345.526100630539,1015337.06306366,1015337.06306366,1015337.06306366,"Conium maculatum"
"Miscanthus sacchariflorus",NA,1,1,1,1,1,NA,NA,2,310900.825437327,428584.788304428,428584.788304428,428584.788304428,113296.13731763,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,1,1,80242.480438205,434284.983045804,434284.983045804,81116.8456036667,81116.8456036667,1,1,1,"Miscanthus sacchariflorus"
"Armoracia rusticana",NA,NA,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,NA,1,1,2,5.51030822000355,5.51030822000355,257890.094122913,4028950.81281969,3816593.59618179,1755137.48628583,1755137.48628583,2702253.81671096,1552681.56844143,2347226.62155104,804426.441474687,"Armoracia rusticana"
"Galium odoratum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,829929.792097856,966672.614315582,1020651.7327761,1319576.11768587,1319576.11768587,"Galium odoratum"
"Butomus umbellatus",2351248.6486177,3162846.92279264,3449800.41753833,1798113.96957943,1709703.85995065,1709703.85995065,681906.290177161,2,2244523.78656765,2244523.78656765,1063049.33305435,1142925.3203174,653836.921728558,295958.507072408,642043.323184535,635863.371647205,221011.343838257,590996.382157587,578919.959689807,441257.342285242,461656.079243914,386261.033221108,2,1478421.87404803,1318509.77604667,20662.7964442684,20662.7964442684,2821419.23724456,645341.699365939,645341.699365939,645341.699365939,645341.699365939,2,NA,2,1096814.23248399,1096814.23248399,1096814.23248399,1299084.056783,1567179.45541587,696668.450168969,696668.450168969,3231720.5965429,3231720.5965429,3544276.7322001,3643278.97956311,4439060.04205217,4589707.22911128,4589707.22911128,4946417.49675257,4946417.49675257,"Butomus umbellatus"
"Borago officinalis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,65850.6334054382,60157.4083595612,2072280.66655219,6592495.9005967,6592495.9005967,6592495.9005967,"Borago officinalis"
"Sorbus aucuparia",0,2.55226988201838,0.719901779229451,0.719901779229451,0.719901779229451,2,NA,638.114149744987,638.114149744987,638.114149744987,984.432131123638,984.432131123638,23.2843303203881,2,2,1,1,NA,NA,NA,1,1,1,2,0,2,2,2,0,2,2,0,2774774.64837781,1683859.20335247,1683859.20335247,3714572.0335405,3299775.43169873,520509.576660062,2,3056807.95402458,3056807.95402458,1844148.58083491,5124724.21730583,5124724.21730583,3261023.84221503,15253310.8996249,16344292.5900183,16477320.9711137,17788394.7360459,18266632.129318,17242533.9532517,"Sorbus aucuparia"
"Armoracia lapathifolia",1242414.09580242,1242414.09580242,37950.7309905485,3664266.63829263,3664266.63829263,323141.178983594,321133.995225635,321133.995225635,961189.684555541,100941.750636266,258324.028631689,258324.028631689,258324.028631689,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,"Armoracia lapathifolia"
"Tanacetum vulgare",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32506035.3725183,48977289.2441085,48977289.2441085,"Tanacetum vulgare"
"Myosotis sylvatica",144611.097099938,144611.097099938,126448.900564364,129142.138258412,194.503602460766,1484.17849878435,5740.19516312561,8550.66311177826,8550.66311177826,8550.66311177826,5109.00654271927,689.17964786911,689.17964786911,2,NA,NA,NA,NA,NA,2,2,2,2,2,NA,NA,NA,NA,NA,NA,1,1,1,2,2,10163.3351562301,927399.20043977,5255679.10550259,2108735.32705185,3398976.90589755,2553845.57235651,6403066.03448034,3203174.69643805,21200401.7865054,23642187.5523357,26800296.10711,19073631.8183117,21023349.9221688,26745408.4085216,32008227.2723037,31989059.3397565,"Myosotis sylvatica"
"Lonicera morrowii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,2,2,128.276671311498,11613.0382992397,487503.275408392,703640.425289926,746647.529131509,1797748.75955267,3480557.46621511,3839783.49120817,3961451.98757984,3857563.27407351,"Lonicera morrowii"
"Stellaria graminea",38589056.8847234,38589056.8847234,68147702.9781651,65699116.789079,53920248.6934054,54551707.5681943,61773351.3358368,22705427.4317331,30953126.9706406,36177148.6776927,34749433.3597177,37405640.5769122,37405640.5769122,21952638.267826,18327248.0612958,11951310.0639943,7944331.69664208,37730114.4516917,39318341.2402379,39702157.4003672,43882963.5351848,43882963.5351848,21682159.4609245,38362002.0171854,24256926.2699124,51696694.2339219,51859871.9697097,51859871.9697097,21609408.7658341,53431893.0912841,78009234.6967769,75344182.9752238,78071624.1281051,78071624.1281051,41120757.8679467,8535253.55101681,8535253.55101681,11416301.5761661,39919529.2422066,40929651.4911914,40808795.2511889,40808795.2511889,6569152.3120699,7859266.13440282,10674609.8827734,13339543.0459227,18705148.4168857,24467318.4668147,24990227.7389967,32865136.0053703,32579522.3925787,"Stellaria graminea"
"Trifolium arvense",2,763548.056020355,763548.056020355,1585524.49374511,13098.2316453518,747862.753817139,1096314.10621659,7136632.83439068,6267906.41168627,6777932.45860872,4105685.9421408,4105685.9421408,1,2,1,1,1,16263401.7898205,9193135.75261013,11448545.9713431,11448545.9713431,11448545.9713431,124010.627093184,67804.7279488754,2,56205.8991443085,56205.8991443085,1,1,1,2,0.183593389469385,0.183593389469385,0.183593389469385,2318.97622959664,2,2,879356.03932865,879356.03932865,3354085.78529724,22320352.7096091,12210561.6305632,9884015.33943197,10962605.2962369,30579629.1507876,18016278.0515953,24109247.4947525,41006685.1249375,49689832.9872728,49842017.3259042,49842017.3259042,"Trifolium arvense"
"Potentilla argentea",786498.60125643,786498.60125643,462367.789193113,450393.307489247,3967843.81233009,8399938.84006855,8454301.11637643,9422114.01191331,17844035.0535148,17270399.7245965,3198816.00953276,3198816.00953276,982475.145534349,58205.1364390878,2,1,1,1,1,NA,NA,NA,1,1,881460.158490405,926613.397914249,926613.397914249,671963.190226956,671963.190226956,1,NA,NA,293500.294032605,4889480.5791738,4916816.65252136,4916816.65252136,6065526.24365765,8932175.71271127,3949928.40277694,3949928.40277694,4282017.32341036,1076722.18228566,6990226.46223601,9801576.33871773,9807814.13810449,24680880.2910304,36847842.3564815,32792643.302634,34728037.2188407,34728037.2188407,26976141.7917341,"Potentilla argentea"
"Araneus diadematus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13795904.4048496,24947505.1744258,26977846.615849,26977846.615849,"Araneus diadematus"
