"","win_1970","win_1971","win_1972","win_1973","win_1974","win_1975","win_1976","win_1977","win_1978","win_1979","win_1980","win_1981","win_1982","win_1983","win_1984","win_1985","win_1986","win_1987","win_1988","win_1989","win_1990","win_1991","win_1992","win_1993","win_1994","win_1995","win_1996","win_1997","win_1998","win_1999","win_2000","win_2001","win_2002","win_2003","win_2004","win_2005","win_2006","win_2007","win_2008","win_2009","win_2010","win_2011","win_2012","win_2013","win_2014","win_2015","win_2016","win_2017","win_2018","win_2019","win_2020","species"
"Rumex crispus",5561457.18822624,13761701.6545976,12364556.398608,12247303.1008575,14258166.7321663,16741736.5778549,9609433.06168277,29924528.708873,30098696.6829558,27396869.1660654,10337330.115349,33970339.7187944,13077224.0724122,13077224.0724122,10332078.942752,5306925.37437726,1,2,2,2,1,1,1,1,2,2,2,1,1,1,22306703.5261384,24393289.7896153,24393289.7896153,31077207.7509522,11833476.3365675,10454998.0435488,10445495.2762883,6104890.14217335,6962801.48815889,11036472.4093493,5698160.2038308,5792108.8319695,5792108.8319695,1183190.13759104,2014632.20388342,7726832.96379007,22835521.4359388,23049730.3728002,42388702.0408423,42388702.0408423,42388702.0408423,"Rumex crispus"
"Leucanthemum vulgare",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,271725.91018696,27040665.7555391,34804580.4613143,47034594.1362559,47890298.9417671,47890298.9417671,"Leucanthemum vulgare"
"Digitaria sanguinalis",NA,NA,1,1,1,6329.09246384614,6329.09246384614,2180350.13929818,2233423.58061603,9869401.89283368,9947193.0372433,9947193.0372433,9362380.4037739,9354180.72555638,2692774.4759046,760370.581656902,746743.112081689,2,2,2,1,1,1,NA,1,1,1,1,2,2,2,298481.638997046,298481.638997046,16219.8566336792,309177.081174309,309177.081174309,322284.310995767,1394504.8169018,1394504.8169018,1394504.8169018,2194571.18629332,2194571.18629332,265124.725879086,265124.725879086,1423145.39898495,1453893.60967841,8513266.27870866,8574305.08241414,8980740.55455986,10039631.1894558,10039631.1894558,"Digitaria sanguinalis"
"Anthemis cotula",1815737.81793433,1815737.81793433,22980.9076141323,22980.9076141323,2,NA,3992399.18539816,6768144.51665745,16352754.2549401,24889248.0398654,24889248.0398654,21485677.0871956,20456421.5667418,3891015.45777524,757831.173648386,316426.381206277,2,432544.651720471,2,2,2,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,2,2,1,2,1,1,1,2,1,651676.666295758,651676.666295758,651676.666295758,6674.7810758316,6674.7810758316,"Anthemis cotula"
"Daphne mezereum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,16731.7959785198,52259.2874963818,52259.2874963818,17861.5161848187,17861.5161848187,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2686696.79964829,5114201.05388374,5114201.05388374,3675398.62918068,3689220.96536214,"Daphne mezereum"
"Trifolium pratense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45926688.0076346,52745216.5260286,52745216.5260286,"Trifolium pratense"
"Rosa rugosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13295.4382138481,506694.546963927,1395534.76236401,5810075.77091494,12060524.4362264,12537815.1261487,34210207.7714382,27398133.2394293,35285779.6871006,44515836.6511329,46231665.2033059,47320150.596959,47320150.596959,"Rosa rugosa"
"Cirsium vulgare",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26279096.3865177,30504734.7374017,39251386.0709742,44441417.0441426,44441420.6731482,43396226.0020385,"Cirsium vulgare"
"Vinca minor",404.205547546893,404.205547546893,404.205547546893,925.384172470313,259.86899442215,1665.14620969152,1665.14620969152,1665.14620969152,5316.1623300457,95613.3681058723,15256.6577795235,15256.6577795235,7995.3119086647,5101.96009123383,NA,1,2,2,2,2,1,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,1463407.62383359,1463407.62383359,3405415.69469017,3709279.63657795,2573086.67998799,2093803.73414538,2594340.18170199,3718806.74017751,6886581.38659138,7328248.11420642,8013239.04465891,8172597.12880065,8634889.78312316,8634889.78312316,"Vinca minor"
"Ajuga reptans",1,2,2,2,0,2,1,122.393624334335,122.393624334335,0.525697695493698,0.525697695493698,0.525697695493698,1,1,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,2,2,2,6844574.98031038,8300460.42887232,16209953.7894576,20445468.7557546,24962030.164495,14331923.4943206,14565555.6140007,14236131.5063041,"Ajuga reptans"
